(2,5), (8,9), (1,4), (7,9)
(3,2), (3,4), (5,4), (5,2)
(8,8), (8,4), (4,4), (4,8)
(4,8), (4,4), (9,0), (3,3)
(8,6), (9,6), (9,7), (8,7)
(1,2), (1,8), (7,1), (4,8)
(0,3), (0,2), (1,2), (1,3)
(2,2), (2,2), (2,2), (2,2)
(9,5), (7,5), (5,0), (1,7)
(5,2), (1,7), (4,3), (5,1)
(9,0), (9,8), (1,0), (1,8)
(2,4), (4,6), (6,4), (4,2)
(3,2), (3,2), (5,2), (3,4)
(3,4), (7,3), (8,7), (4,8)
(5,6), (5,2), (5,6), (5,3)
(0,2), (1,2), (1,1), (1,0)
(0,2), (4,2), (0,6), (4,6)
(4,7), (0,6), (5,3), (1,2)
(3,4), (6,2), (8,5), (5,7)
(4,1), (2,4), (7,3), (5,6)
