10110001 11111000 11111110 11111111 11111111 11111111 11111111 11101101 11111111 01111111 11110010 10100111;84.525784
11111111 11110110 11101111 11110111 10111110 11110110 10111011 10100111 11111100 01100100 11111101 01011110;5.57
11000010 00001111 11111111 10111111 11101011 11110011 01111110 11011111 11111111 11111111 11111001 01101110;857.71284
11111111 01110111 10111011 11001101 11111011 11101010 11110100 01001101 11011111 11111010 10010110 10111111;66.92
11111011 10010001 11111011 11111101 10011111 10111110 01111100 11011101 10111001 11111110 11101111 11110110;188.87

11110111 11111110 11101110 11100011 11111111 11111111 11111010 10110111 11111111 00011101 11001110 11010000;52478.2256
01110111 10111101 00111111 10111111 11011100 11011101 11000101 10111101 11000111 01111111 00011010 00011100;61927.2518

11110110 10111010 11110100 11110110 11111101 11110100 01111111 11101011 11101100 11010011 11001111 00110111;89.5
00111100 01100101 01110110 01011111 01111001 10100101 01110111 11101101 11110101 01100000 10111011 01011100;3.
11111100 01110111 01111010 11011111 00110111 10111000 01010101 11001011 11110110 11110001 11011110 00011111;50.2
11010011 00110100 01111010 01111101 01111011 11011101 11101111 10000110 11010111 00010101 10110111 11100110;7.4887
10111110 11101101 11101011 10010100 00000101 11101010 11111111 11100010 11111111 11111110 11111111 01101110;161026.4
00011110 10111101 11101101 11100000 11011011 01111111 10111101 11101111 11101111 01101111 11101110 00101111;24014.3
10110110 00111101 11100110 00010011 11101111 11111011 11111111 11111111 10111111 11110101 11111111 01111111;722.2
11111111 10111011 11111111 11111111 11111111 11111110 11011011 01101100 11110110 10011111 11011110 11001110;5.9602
01111111 10110101 00011110 11100100 10001110 11011001 01111111 01111000 11001011 11011001 01011101 10101110;2.73
11011111 11111010 01111001 11110110 11110111 10111110 11110001 11111111 11111101 11100001 11111101 11111110;14513117.6
10101011 11100111 11011110 00111111 00011100 10100011 11011010 10101101 10001101 11110101 10001111 10110000;9.59583615
11011111 11010110 11111110 10011111 11110011 11011111 10101111 10101111 01110101 11111011 11101110 11011100;850.2754
01010101 11111111 00111110 11111111 10001101 11111001 00001110 11110011 11110111 11001111 11111111 01011011;41.
11111101 11011101 11011111 10010110 01111110 11010111 10010110 11010101 01110111 11101001 00101111 01001001;963.1
11101011 00000110 10111111 10000111 01111101 10111110 11010111 11111001 11111111 10110001 11111001 01011110;39.33
11111001 01011111 11010111 10111111 11111111 11100111 11111111 11111110 11101111 11011111 11111010 10011111;6.017042
11111111 11100111 00110111 11111111 00011110 01001111 01001111 11110011 11110101 01001100 11100111 10001001;6.
10110101 11101100 00111111 11110111 10110101 11111110 10011001 11000001 11110101 00111110 01111111 10001111;2542642.7
11110011 01100000 01100110 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000;3.14
00111111 11111111 11111111 11100111 11100111 11111111 11110010 11111011 11100001 11111111 11110011 11111011;8474.3337
01111011 11110110 11111011 11111111 11111111 11111111 11111111 01111101 01111011 10101110 01011111 11101110;775488.

01110111 11111111 11111110 11111111 11101001 11111010 11111111 10111111 11111110 11111111 11111111 11111111;7132.69889
10011111 01101111 11011111 11110001 01111101 11101110 01010000 11010100 01110110 11111111 11110111 10101101;916.1
10101111 11111110 00001111 11100011 10010110 10110001 11111111 01100111 11111100 11101010 11000111 00110110;1.
01010000 01110100 00011111 10111011 00111111 00110111 11110111 01110111 10001110 10011011 01111101 11111011;4.
11100111 10011111 11011111 11111111 11111111 11111111 11111111 01111111 01101111 11111111 11101010 11111111;300.8419
11111000 10111111 11101111 11101010 11111101 11111111 11110111 10111111 11111100 01110000 11101101 11101111;2152.39656
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 11100001;7.
11001101 00110111 01100111 10111111 10101111 11010001 01111010 11110111 01101110 01101011 11011110 01111100;9092.
11101111 11101001 11011100 11101101 01101110 11010001 11010110 11101001 10110110 11000011 01111111 01011111;33.5846
11111100 11111011 01100101 01111101 01111111 11111001 11111111 01111111 00001111 01111110 11101011 01011111;7312.2
10111111 00000001 11111001 11100111 11111111 11111101 11111111 11111101 11111111 11111110 11111111 11111110;776.04238
10001110 11111111 10011011 11111110 11101110 11111110 11110111 10101111 11111000 10011111 01110100 11010111;9793.
00110001 10011111 11101110 11111111 11111101 01111111 10111111 00100111 11111011 11101001 00011111 11001010;8440320.4
11110111 11111111 11111111 11111111 11111111 11111111 11111111 01111101 01101111 11110001 11011111 01010111;4896.818
01111011 11001111 10000100 11010110 10111101 01001101 11011111 11101001 11110111 11101100 00111111 11010101;7512.355
11111111 11111111 10111111 11101100 11110111 11111111 10111110 11111111 11111111 11111110 11111111 11110111;2613.9533657
11111100 11111111 10110000 11111111 01001100 01001111 11001101 10111111 10110110 11110111 10101101 10010010;5819858.
11111101 01011111 11001001 11011110 10100011 01000110 01111111 11101100 10001101 01101110 11111111 01111111;1.69
11111111 00100111 10001111 11111111 01111110 11111101 11110110 11111101 11011111 11111111 10111111 11111111;28.64
10011111 11000111 10001011 10001100 11111111 00000111 11011001 01011101 11011011 00100111 11111111 11111110;284.437
11011111 11111111 11111110 11111111 11111110 11110011 11110011 11101100 11111110 11111111 11111010 11110110;2.08791312229
11100111 11101000 10111111 10011111 11101100 00111101 11011011 00100011 00111110 01100111 11111011 01101001;2.82204
11111111 10101011 01100111 01101001 00111011 10001111 11111111 10011111 10111110 11111101 11110110 11111101;283467.375171
00111010 10111111 11110100 10011111 01101011 10111011 10010101 01111111 11001111 11110110 01110111 10001111;912.
00111011 01111101 01111110 11111100 11011010 00110110 11111111 11111111 01100111 11101001 11011111 11100011;6831372554.9
10101010 01010011 10101111 11100001 10011011 10111110 11110111 11110101 01110001 01110110 11111111 10111011;227845424.22
10111100 10110110 01100100 00010011 10011100 11111110 11111011 11111111 11111010 11110111 11111111 11101111;836.2347
11001110 11110111 10000101 11011101 10011000 11010101 10110011 11111011 01101111 01100101 11011111 00011111;9.1
01111110 11111101 01100111 10111101 11111010 10110011 01111100 10111111 01010111 01100110 00111111 11110001;23.133456053
10000100 11110011 00111111 11101111 11110001 10101110 11010011 11011111 11101110 01110111 10111110 11111000;6569.75
11100111 11110111 11111111 11011111 11111111 11111111 11111010 11111110 11111111 11111110 10111110 11110111;139279748.563
01111100 01100011 11110111 11001111 00110111 11001101 11111101 01010111 10111101 11110110 10110100 10110111;6847.14013
00111101 11111101 11110111 01110001 11101110 11010101 11101001 10111001 11011111 01111111 10011111 11011010;71.2117
11111111 10101011 11001110 11111111 11111111 11111111 11110111 00010100 01111101 11111111 11110111 11110101;299.
11011100 10110001 11011110 11101101 10111111 00001111 11001111 11011010 10010010 00101111 11101111 11111110;82.85
00100111 11001101 10101110 11111101 01111110 11010101 00101011 11111110 10101101 01010111 11111010 01011011;8315.36
11001111 11001100 11111111 11111110 01110111 11110111 11000111 01010111 11100001 11111111 01101111 11111101;364.
11111101 11110111 11111011 11111111 10101110 01011011 11111111 11101111 11101111 00110011 11101110 10111010;93.
11111111 11111111 11111110 11110111 11111011 11111111 11111111 11111111 11111111 11011111 11110110 11111010;396935312.252
11110011 01100000 01000110 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000;3.14
10011011 10111110 10011000 11111111 11010011 00110111 10111011 11111111 11101011 01111011 10010100 11011010;97.1
10110001 01111111 11110111 10101011 01111101 01111010 11110110 10100011 11110010 01010111 10100111 11101111;14.
11101110 11111111 01101111 11110011 10101101 01101111 11111110 01110110 10011011 11101101 10001101 11000011;796.338
11110111 01100111 11110111 11110111 11111111 11111111 11111111 11111111 11101111 01111110 11100011 01101111;9473.86907
00000000 00000000 01100110 11011011 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000;42.
01011011 11010111 11111011 01001011 11111110 11111001 11101111 01110111 00101111 10110101 01100111 11011011;43894.72862
11101000 10101110 01011011 11111110 00000001 11011111 11000111 10100111 01001111 11111110 11111100 11001111;712255980121.
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 11100001 00000000;7.
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 11100000 00000000;7.
00111111 11101101 01111110 00011011 11111111 11111111 11111111 11111100 11101110 11111111 01101111 11111111;6.049
11111111 11111111 11111111 10110111 11111111 11110010 11111111 01111111 11110111 11101100 11111111 11110001;89055384.372
11101100 11100110 01110101 10011110 10101111 11111100 10111101 11101101 10111110 10110010 10110011 11111011;42569.217815
11010110 11110011 11001010 01111011 11010001 01001111 10110100 10110111 11101101 11111111 10111011 11101111;46.
11111011 11100001 01111110 11111111 11111111 11111111 01110011 11110110 11111110 11110011 11110111 11111110;493914011.
11111111 01111011 11111011 11111111 11111110 11111101 11111111 11111111 11111111 01110011 11111111 11111010;8138.5088619
01111101 00110101 11011011 11111001 11111011 11111111 11111111 11101111 11110011 10111010 10111101 01110110;70.43
11110111 11111101 11110111 11100100 11100110 11111111 11111110 01100110 11111111 11111010 11000100 01111111;905.740016
01111111 11111110 11111111 11111111 11111111 11111101 11111111 01101110 01010001 11110111 11101011 11111111;69.6
10101101 10111011 11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111010 11111110 11111110;223794.0756
11111100 11111100 11101101 11001111 11111001 11111001 10011011 11111101 11111001 10011111 01101011 11111011;8898.654763
11111011 11110010 01100100 01011111 11111001 01110101 11011001 11100111 01111011 10110111 00101011 11111111;9.239
01110111 11111110 11111111 11111111 11111111 11111111 01111111 10110110 11111110 11111110 11111111 11111111;4.66162455318
11001111 10111010 11011101 00001101 11101110 01111111 11110111 10111101 11101011 11010111 10111111 01111010;6990.90254541
11111011 00101111 00101001 10111111 11100100 10011111 01011110 10011101 11111110 00111110 00001101 01100111;98291550.18
11111110 11111100 11011110 11100111 11111010 11111100 11111111 11111111 11110110 10011111 11110011 11100010;7721.7784
00111111 01111000 10110101 00011101 11011111 10101101 00111111 11111011 10110111 11101110 01111110 10010110;8.
10110001 11100011 11011011 11101001 11111111 10111110 01101011 11001110 01010001 01101100 11111010 11011101;5.35
01111011 11101110 11001101 11000111 11111011 11111111 11111110 11111010 11100111 11111111 11110111 01101101;1.683453
11101111 11110110 11111111 11111111 10111111 01111110 11100110 11111110 11111011 11111111 11110111 10100001;5916.14835
11111011 11011001 01110110 11101101 00110111 10000011 11011111 00111110 11010111 11111110 11111001 11111111;8.
11101110 10100000 11111110 01101101 10111101 11101111 01101111 11011011 10111111 10110101 11111111 11111110;31.88
11011101 11110111 11111111 11111111 11111110 11110110 11111110 11110100 01010010 11011111 11111111 01111010;9.399997
